Date,Source,Counterparty,Category,Amount,Bucket/Type,Flag
2026-05-13,Mercury,VENMO,Pay,-443.75,Payroll,Venmo/CashApp Pay
2026-05-21,Mercury,VENMO,Pay,-400.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-400.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-400.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-366.75,Payroll,Venmo/CashApp Pay
2026-05-08,Mercury,VENMO,Pay,-300.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-250.00,Payroll,Venmo/CashApp Pay
2026-05-13,Mercury,VENMO,Pay,-212.50,Payroll,Venmo/CashApp Pay
2026-05-05,Mercury,VENMO,Pay,-190.00,Payroll,Venmo/CashApp Pay
2026-05-05,Mercury,VENMO,Pay,-150.00,Payroll,Venmo/CashApp Pay
2026-05-30,Mercury,ADP PAY-BY-PAY,Payroll,-101.63,Payroll,
2026-05-27,Mercury,VENMO,Pay,-100.00,Payroll,Venmo/CashApp Pay
2026-05-21,Mercury,VENMO,Pay,-100.00,Payroll,Venmo/CashApp Pay
2026-05-03,Mercury,Apple Wallet,Pay,-100.00,Payroll,Venmo/CashApp Pay
2026-05-13,Mercury,VENMO,Pay,-85.00,Payroll,Venmo/CashApp Pay
2026-05-29,Mercury,VENMO,Pay,-80.00,Payroll,Venmo/CashApp Pay
2026-05-19,Mercury,VENMO,Pay,-75.00,Payroll,Venmo/CashApp Pay
2026-05-16,Mercury,ADP PAY-BY-PAY,Payroll,-72.36,Payroll,
2026-05-19,Mercury,VENMO,Pay,-65.00,Payroll,Venmo/CashApp Pay
2026-05-30,Mercury,VENMO,Pay,-50.00,Payroll,Venmo/CashApp Pay
2026-05-23,Mercury,ADP PAYROLL FEES,Payroll,-41.00,Payroll,
2026-05-01,Mercury,ADP PAY-BY-PAY,Payroll,-38.64,Payroll,
2026-05-07,Mercury,VENMO,Pay,-35.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-20.94,Payroll,Venmo/CashApp Pay
2026-05-09,Mercury,ADP PAYROLL FEES,Payroll,-16.00,Payroll,
2026-05-27,Mercury,VENMO,Pay,-15.00,Payroll,Venmo/CashApp Pay
2026-05-07,Mercury,VENMO,Pay,-8.00,Payroll,Venmo/CashApp Pay

,,,TOTAL,,63066.92,
